Restaurant ID,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Estimate time of Delivery,Restaurant Distance from Delivery Location,Is promo available,Restaurant latitude,Restaurant longitude,Estimate Delivery Fee,Restaurant Image Link,Promotional Offers
SGDD04944,McDonald's - Boat Quay,"Burger, Fast Food, Halal",4.2,20,1.562,True,1.2857211372800634,103.84982956837393,460,https://food-cms.grab.com/compressed_webp/merchants/SGDD04944/hero/d2447ac38a2541769b115b2a1d25291d_1677816675499200090.webp,"['zeusPromoShortTag', 'mfcPromoTag']"
4-C6K3LLJBMFKZCT,Burger King - Boat Quay,"Burgers, Fast Food",5,30,1.405,False,1.285784424,103.8496719,410,https://food-cms.grab.com/compressed_webp/merchants/4-C6K3LLJBMFKZCT/hero/c1cd7fe27ff742d5a4bf4dd216b9a3a2_1714530917680052066.webp,
4-CZDWARLXDBJYKE,Lucky Cafe - North Canal Road,"Chinese, Noodles, Western, Filipino",4.3,30,1.427,False,1.286364,103.84841,410,https://food-cms.grab.com/compressed_webp/merchants/4-CZDWARLXDBJYKE/hero/67a9ec9da44e49aa8e7042e8a9dff860_1588835556299839244.webp,
4-C4NBHA5KRYCYJE,Eat Bar - South Bridge Road,"Western, Chinese, Local & Malaysian",4.2,25,1.327,True,1.288056684,103.8486969,400,https://food-cms.grab.com/compressed_webp/merchants/4-C4NBHA5KRYCYJE/hero/867bfbeacd2f4a7f86dc0d4bb2e540ce_1698203132044072519.webp,['zeusPromoShortTag']
4-C4ACNJ5UV6LGA6,Viet'Spice - Hương vị Việt - Circular Road,"Vietnamese, Salad, Seafood, Noodles, Drinks & Beverages",3.7,30,1.268,True,1.287620684,103.8489859,400,https://food-cms.grab.com/compressed_webp/merchants/4-C4ACNJ5UV6LGA6/hero/81d0ef72-af9e-4ca7-a515-83ef21beaf81__store_cover__2023__04__11__02__16__51.webp,"['mfcPromoTag', 'mfcPromoTag']"
4-C4MDVPMAFGAJUE,SF Fruits & Juices - Fullerton Waterboat House,"Healthy, Drinks & Beverages, Fresh Produce",4.3,25,1.734,False,1.2870988755951491,103.8535542257581,420,https://food-cms.grab.com/compressed_webp/merchants/4-C4MDVPMAFGAJUE/hero/f46722ef8eb44d39a2b201efa20c4914_1696402075287957203.webp,
4-C3UHAXDTJBDEGN,Hot Shotz - Canton Street,"Western, Snack",4.5,30,1.594,True,1.286330684,103.8494259,410,https://food-cms.grab.com/compressed_webp/merchants/4-C3UHAXDTJBDEGN/hero/8f721ac29c884b39885ab1adb37ec3c6_1665111689146191695.webp,"['mfcPromoTag', 'mfcPromoTag']"
4-C4DUNYMVBAL2FA,uMart@BoatQuay - Lorong Telok,"Alcohol, Snacks, Groceries, Convenience, Drinks & Beverages",4.7,20,1.338,True,1.287214,103.848683,330,https://food-cms.grab.com/compressed_webp/merchants/4-C4DUNYMVBAL2FA/hero/c909b3ceb41f45ccbc22d68cf4b35223_1687168584666748724.webp,"['zeusPromoShortTag', 'mfcPromoTag']"
4-C4DUNYMVAUW2NT,uBooze@BoatQuay - Lorong Telok,"Alcohol, Snacks, Beer, Convenience, Drinks & Beverages",4.3,20,1.338,True,1.287214,103.848683,330,https://food-cms.grab.com/compressed_webp/merchants/4-C4DUNYMVAUW2NT/hero/06721da861df4e9fa9f167aba9deae7f_1687169005933947039.webp,"['zeusPromoShortTag', 'mfcPromoTag']"
4-C4BFVF3DCBDUCE,Dabao Bento - High Street Plaza,"Japanese, Bento, Fried Chicken",4.5,25,0.899,True,1.2903829531375,103.849297971757,,https://food-cms.grab.com/compressed_webp/merchants/4-C4BFVF3DCBDUCE/hero/ac5c8cbd-afd1-441e-adcb-4606544a4272__store_cover__2023__05__05__12__05__58.webp,['mfcPromoTag']
4-C4BFUFV3JAMCRE,LaPasta - High Street Plaza,"Italian, Pasta",4.8,25,0.899,True,1.2903829531375,103.849297971757,,https://food-cms.grab.com/compressed_webp/merchants/4-C4BFUFV3JAMCRE/hero/b8395813-f426-48bc-985e-b221a6e87654__store_cover__2023__05__05__12__03__15.webp,"['zeusPromoShortTag', 'omegaPromoTag']"
4-C3X1VRMCLN6WVX,Fat Bao Bao - High Street Plaza,"Local & Malaysian, Snack",4.5,25,0.911,True,1.2903829531375,103.849297971757,,https://food-cms.grab.com/compressed_webp/merchants/4-C3X1VRMCLN6WVX/hero/ac3684d5-20ce-4095-bd47-560ab590bd87__store_cover__2023__05__05__12__09__39.webp,['mfcPromoTag']
4-C2THARCHMENDVT,JonesMart - High Street Plaza,"Alcohol, Beverages, Convenience, Mart, Islandwide Delivery",4.8,65,0.495,False,1.2908608824785464,103.84941059663592,1200,https://food-cms.grab.com/compressed_webp/merchants/4-C2THARCHMENDVT/hero/d8c316ab8be2473dbdb5fbd757e93d71_1620703847662082289.webp,
